code,name,new_price,pre_close,change_rate,high,low,volume,amount,turnover,industry,area,macd_golden,kdj_golden,break_ma5,break_ma10,break_ma20,upper_volume,down_volume,upside_volume,reversing_hammer,win_3d,win_5d,win_10d,change_3d,change_5d,change_10d,technical_score,signals,trend
000002,万科A,4.81,4.84,-0.62,4.82,4.76,343863,164470492,0.35,房地产开发,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-3.8,-3.22,0.0,0,[],弱势
000004,*ST国华,6.56,6.9,-4.93,6.71,6.56,34261,22549415,2.71,计算机软件,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-13.0,-21.53,-32.86,0,[],弱势
000006,深振业A,9.0,9.28,-3.02,9.09,8.91,93340,84109007,0.69,房地产开发,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-7.02,-4.56,0.22,0,[],弱势
000007,全新好,13.44,13.62,-1.32,13.47,12.98,30176,39922197,0.87,汽车,广东省,0,0,0,0,0,0,0,0,0,b'\x01',b'\x01',b'\x01',6.58,8.3,13.71,30,[],极强
000008,神州高铁,2.99,3.01,-0.66,3.0,2.95,233580,69354456,0.86,铁路设备,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.97,1.01,0.0,0,[],弱势
000009,中国宝安,9.45,9.55,-1.05,9.52,9.38,68348,64546051,0.27,综合,广东省,0,0,0,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.46,1.29,0.0,15,['均线突破(突破10日线)'],弱势
000010,美丽生态,4.32,4.28,0.93,4.36,4.0,422700,177893377,4.98,基础建设,广东省,0,0,0,0,0,1,0,0,0,b'\x01',b'\x01',b'\x01',16.76,24.86,21.69,45,['放量上涨'],极强
000012,南玻A,4.97,5.03,-1.19,5.0,4.91,153617,76125145,0.78,玻璃,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-4.05,9.23,6.88,0,[],弱势
000017,深中华A,7.61,7.7,-1.17,7.75,7.61,27554,21164654,0.63,珠宝首饰,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-2.19,0.13,-1.3,0,[],弱势
000019,深粮控股,7.3,7.2,1.39,7.39,7.21,67457,49325510,1.62,贸易,广东省,0,0,0,0,1,0,0,0,0,b'\x00',b'\x00',b'\x00',1.96,5.49,2.53,30,['均线突破(突破20日线)'],温和
000020,深华发A,14.76,15.09,-2.19,15.06,14.6,10309,15243941,0.57,电子器件,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-4.22,-1.6,-3.53,0,[],弱势
000025,特力A,18.2,18.25,-0.27,18.28,17.95,15064,27288879,0.38,珠宝首饰,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.94,0.28,-0.55,0,[],弱势
000027,深圳能源,7.08,7.02,0.85,7.09,6.94,118028,82871863,0.25,电力,广东省,0,0,0,0,0,1,0,0,0,b'\x00',b'\x00',b'\x00',3.36,7.11,5.36,35,['放量上涨'],强势
000028,国药一致,25.81,25.83,-0.08,25.9,25.63,11356,29270401,0.24,医药商业,广东省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.15,0.12,-2.38,10,['均线突破(突破5日线)'],弱势
000030,富奥股份,5.54,5.56,-0.36,5.58,5.45,41740,22996632,0.25,汽车,吉林省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.72,2.21,2.78,0,[],弱势
000031,大悦城,3.47,3.46,0.29,3.48,3.36,104872,35721741,0.24,房地产开发,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-3.88,-2.8,-6.97,0,[],弱势
000032,深桑达A,19.95,20.65,-3.39,20.65,19.72,85985,172836335,0.76,建筑施工,广东省,0,1,1,1,1,0,0,0,0,b'\x00',b'\x00',b'\x00',0.4,-4.09,1.89,75,"['KDJ金叉', '均线突破(突破5日线/突破10日线/突破20日线)']",温和
000034,神州数码,40.3,40.63,-0.81,41.15,39.98,126538,511484174,2.09,贸易,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',7.84,6.16,12.41,20,[],强势
000035,中国天楹,7.71,7.01,9.99,7.71,7.71,274558,211684588,1.19,环保,江苏省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',19.72,32.93,28.93,30,[],极强
000036,华联控股,5.5,5.38,2.23,5.55,5.29,252888,137526698,1.8,房地产开发,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-9.39,-0.54,-1.61,0,[],弱势
000037,深南电A,9.95,10.11,-1.58,10.03,9.85,38419,38244092,1.13,电力,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.58,4.08,4.96,10,[],温和
000039,中集集团,13.95,13.5,3.33,14.24,13.23,368331,511475396,1.6,其他交运设备,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',13.14,25.22,27.05,30,[],极强
000042,中洲控股,9.08,9.06,0.22,9.15,8.95,12882,11661358,0.19,房地产开发,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.11,-1.09,-0.87,10,[],温和
000048,京基智农,17.73,19.06,-6.98,18.68,17.73,63122,114884011,1.2,畜牧业,广东省,0,0,1,1,1,0,0,0,0,b'\x00',b'\x00',b'\x00',0.57,-1.34,-3.11,55,['均线突破(突破5日线/突破10日线/突破20日线)'],温和
000049,德赛电池,25.97,26.53,-2.11,26.34,25.81,19261,50254401,0.5,电源设备,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-3.1,-1.7,-0.15,0,[],弱势
000050,深天马A,10.08,10.15,-0.69,10.13,9.93,72384,72691389,0.29,电子器件,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.9,4.46,8.04,10,[],温和
000056,皇庭国际,2.1,2.23,-5.83,2.2,2.04,394621,83580253,4.37,商业物业经营,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-8.7,2.44,-7.89,0,[],弱势
000058,深赛格,8.87,9.09,-2.42,9.01,8.8,43984,39125444,0.45,商业物业经营,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-4.31,-2.1,-2.21,0,[],弱势
000059,华锦股份,6.26,6.14,1.95,6.43,6.13,281935,176710566,1.76,石油天然气,辽宁省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.29,7.38,6.46,10,[],温和
000060,中金岭南,8.21,8.26,-0.61,8.45,8.07,1197158,988433839,2.7,基本金属,广东省,1,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',4.59,16.12,19.51,45,['MACD金叉'],强势
000061,农产品,9.2,9.12,0.88,9.24,9.06,39799,36518468,0.23,商业物业经营,广东省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.33,1.77,0.11,20,['均线突破(突破5日线)'],温和
000062,深圳华强,24.67,25.3,-2.49,24.82,24.5,44488,109688531,0.43,电子元件,广东省,1,0,0,0,1,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.16,1.44,2.07,45,"['MACD金叉', '均线突破(突破20日线)']",弱势
000063,中兴通讯,38.17,38.65,-1.24,38.43,37.86,229989,875794607,0.57,通信设备,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.55,2.72,5.12,10,[],温和
000065,北方国际,12.82,12.86,-0.31,12.83,12.45,79597,100714130,0.82,建筑施工,北京,1,0,0,0,1,1,0,0,0,b'\x00',b'\x00',b'\x00',4.82,8.64,6.57,80,"['MACD金叉', '均线突破(突破20日线)', '放量上涨']",强势
000066,中国长城,16.74,16.59,0.9,16.96,16.45,412518,689008614,1.28,计算机硬件,广东省,0,0,1,0,1,0,0,0,0,b'\x00',b'\x00',b'\x00',2.7,0.12,4.69,40,['均线突破(突破5日线/突破20日线)'],温和
000069,华侨城A,2.56,2.61,-1.92,2.58,2.55,170682,43740780,0.25,休闲服务,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-3.76,-3.03,-5.54,0,[],弱势
